work_year,experience_level,employment_type,job_title,salary_in_usd,work_setting,company_location,company_size
2020,Mid,FT,Data Scientist,79833,In-person,Germany,L
2020,Senior,FT,Machine Learning Scientist,260000,In-person,Japan,S
2020,Senior,FT,Big Data Engineer,109024,Hybrid,United Kingdom,M
2020,Mid,FT,Product Data Analyst,20000,In-person,Honduras,S
2020,Senior,FT,Machine Learning Engineer,150000,Hybrid,United States,L
2020,Entry,FT,Data Analyst,72000,Remote,United States,L
2020,Senior,FT,Lead Data Scientist,190000,Remote,United States,S
2020,Mid,FT,Data Scientist,35735,Hybrid,Hungary,L
2020,Mid,FT,Business Data Analyst,135000,Remote,United States,L
2020,Senior,FT,Lead Data Engineer,125000,Hybrid,New Zealand,S
2020,Entry,FT,Data Scientist,51321,In-person,France,S
2020,Mid,FT,Data Scientist,40481,In-person,India,L
2020,Entry,FT,Data Scientist,39916,In-person,France,M
2020,Mid,FT,Lead Data Analyst,87000,Remote,United States,L
2020,Mid,FT,Data Analyst,85000,Remote,United States,L
2020,Mid,FT,Data Analyst,8000,Hybrid,Pakistan,L
2020,Entry,FT,Data Engineer,41689,Remote,Japan,S
2020,Senior,FT,Big Data Engineer,114047,Remote,United Kingdom,S
2020,Entry,FT,Data Science Consultant,5707,Hybrid,India,M
2020,Mid,FT,Lead Data Engineer,56000,Remote,United States,M
2020,Mid,FT,Machine Learning Engineer,43331,In-person,China,M
2020,Mid,FT,Product Data Analyst,6072,Remote,India,L
2020,Senior,FT,Data Engineer,47899,Hybrid,Greece,L
2020,Mid,FT,BI Data Analyst,98000,In-person,United States,M
2020,Mid,FT,Lead Data Scientist,115000,In-person,United Arab Emirates,L
2020,Executive,FT,Director of Data Science,325000,Remote,United States,L
2020,Entry,FT,Research Scientist,42000,Hybrid,Netherlands,L
2020,Senior,FT,Data Engineer,33511,In-person,Mexico,S
2020,Senior,FT,Machine Learning Manager,117104,Hybrid,Canada,L
2020,Mid,FT,Data Engineering Manager,59303,Remote,Germany,S
2020,Entry,FT,Big Data Engineer,70000,Remote,United States,L
2020,Senior,FT,Data Scientist,68428,Remote,United States,L
2020,Mid,FT,Research Scientist,450000,In-person,United States,M
2020,Mid,FT,Data Analyst,46759,Hybrid,France,L
2020,Mid,FT,Data Engineer,74130,Hybrid,Austria,L
2020,Mid,FT,Data Science Consultant,103000,Remote,United States,L
2020,Entry,FT,Machine Learning Engineer,250000,Hybrid,United States,L
2020,Entry,FT,Data Analyst,10000,Remote,Nigeria,S
2020,Entry,FT,Machine Learning Engineer,138000,Remote,United States,S
2020,Mid,FT,Data Scientist,45760,Remote,United States,S
2020,Executive,FT,Data Engineering Manager,79833,Hybrid,Spain,L
2020,Mid,FT,Machine Learning Infrastructure Engineer,50180,In-person,Portugal,M
2020,Mid,FT,Data Engineer,106000,Remote,United States,L
2020,Mid,FT,Data Engineer,112872,Hybrid,United Kingdom,L
2020,Mid,FT,Data Scientist,76958,Remote,United Kingdom,S
2020,Senior,FT,Data Engineer,188000,Remote,United States,L
2020,Mid,FT,Data Scientist,105000,Remote,United States,L
2020,Mid,FT,Data Engineer,70139,Hybrid,France,L
2020,Entry,FT,Data Analyst,6072,In-person,India,S
2020,Entry,FT,Data Analyst,91000,Remote,United States,L
2020,Entry,FT,AI Scientist,45896,Hybrid,Denmark,S
2020,Entry,FT,Data Engineer,54742,Remote,Germany,L
2020,Senior,FT,Principal Data Scientist,148261,Remote,Germany,M
2020,Mid,FT,Data Scientist,38776,Remote,Spain,M
2020,Mid,FT,Data Scientist,118000,Remote,United States,M
2020,Senior,FT,Data Scientist,120000,Hybrid,United States,L
2020,Mid,FT,Data Scientist,138350,Remote,United States,M
2020,Mid,FT,Data Engineer,110000,Remote,United States,L
2020,Mid,FT,Data Engineer,130800,Remote,United States,M
2020,Senior,FT,Data Scientist,412000,Remote,United States,L
2020,Senior,FT,Machine Learning Engineer,45618,Remote,Croatia,S
2020,Entry,FT,Data Scientist,62726,Hybrid,Germany,S
2020,Entry,FT,Data Scientist,49268,In-person,Germany,S
2020,Senior,FT,Data Science Manager,190200,Remote,United States,M
2020,Entry,FT,Data Scientist,105000,Remote,United States,S
2020,Senior,FT,Data Scientist,91237,In-person,Austria,S
2020,Mid,FT,Data Scientist,62726,Hybrid,Luxembourg,S
2020,Mid,FT,Data Scientist,42197,Hybrid,France,S
2021,Entry,FT,Research Scientist,82528,Hybrid,United Kingdom,L
2021,Executive,FT,BI Data Analyst,150000,Remote,United States,L
2021,Executive,FT,Head of Data,235000,Remote,United States,L
2021,Senior,FT,Data Scientist,53192,Hybrid,France,L
2021,Mid,FT,BI Data Analyst,100000,Remote,United States,M
2021,Entry,FT,Data Analyst,80000,Remote,United States,M
2021,Senior,FT,Data Analytics Engineer,79197,Remote,Germany,L
2021,Mid,FT,Data Engineer,140000,Remote,United States,L
2021,Mid,FT,Applied Data Scientist,54238,Hybrid,Canada,L
2021,Mid,FT,Machine Learning Engineer,47282,Remote,Spain,S
2021,Executive,FT,Director of Data Science,153667,Remote,Poland,L
2021,Mid,FT,Data Engineer,28476,Remote,Poland,L
2021,Entry,FT,Data Analyst,59102,Hybrid,France,M
2021,Mid,FT,Data Analytics Engineer,110000,Remote,United States,L
2021,Senior,FT,Lead Data Analyst,170000,Remote,United States,L
